STATE,MONTHS,Weeks,TOTAL_CONFIRMED,TOTAL_RECOVERED,TOTAL_TESTED,TOTAL_DECEASED
West Bengal,November,Week_4,477446,444587,5789547,8322
West Bengal,November,Week_3,452770,419403,5478311,7976
West Bengal,November,Week_2,428498,390096,5180139,7610
West Bengal,November,Week_1,401394,359071,4869554,7235
Tripura,October,Week_5,84468,83466,1983127,813
Tripura,October,Week_4,84435,83436,1973180,813
Tripura,October,Week_3,84348,83377,1951997,813
Tripura,October,Week2,84288,83294,1939507,813
Tripura,October,Week_1,84208,83186,1923980,812
Tripura,September,Week_5,84124,82991,1902970,810
Tripura,September,Week_4,84082,82936,1894064,808
Tripura,September,Week_3,83902,82687,1864492,806
Tripura,September,Week2,83669,82319,1832675,802
Tripura,September,Week_1,83357,81803,1796467,800
Tripura,August,Week_5,82859,81069,1757890,797
Tripura,August,Week_4,82671,80725,1744069,793
Tripura,August,Week_3,81938,79808,1700799,782
Tripura,August,Week2,81114,78453,1658547,773
Tripura,August,Week_1,79945,76604,1613036,763
Tripura,July,Week_5,78358,74059,1559001,752
Tripura,July,Week_4,77409,72847,1526486,745
Tripura,July,Week_3,74843,69707,1462813,728
Tripura,July,Week2,71870,66708,1394510,715
Tripura,July,Week_1,68609,63901,1334119,698
Tripura,June,Week_5,65767,61450,1280493,674
Tripura,June,Week_4,64860,60631,1263921,669
Tripura,June,Week_3,62321,57671,1211909,647
Tripura,June,Week2,59318,53471,1141323,617
Tripura,June,Week_1,55466,48924,1056126,561
Tripura,May,Week_5,51130,44003,947800,510
Tripura,May,Week_4,49287,41530,910315,482
Tripura,May,Week_3,44356,37037,836629,452
Tripura,May,Week2,39603,35088,777407,423
Tripura,May,Week_1,36846,34095,738070,401
Tripura,April,Week_5,35166,33555,705279,393
Tripura,April,Week_4,34859,33492,695782,393
Tripura,April,Week2,33841,33112,658885,391
Tripura,April,Week_3,34091,33168,669149,391
Tripura,April,Week_1,33572,33069,647320,390
Tripura,March,Week_5,33490,33029,639614,389
Tripura,March,Week_4,33487,33024,637843,389
Tripura,January,Week_3,33335,32888,602298,388
Tripura,January,Week_4,33343,32911,605866,388
Tripura,January,Week_5,33347,32915,606978,388
Tripura,February,Week_1,33349,32930,609909,388
Tripura,February,Week2,33350,32937,614394,388
Tripura,February,Week_3,33389,32938,618010,388
Tripura,February,Week_4,33404,32961,620416,388
Tripura,March,Week_1,33421,32979,624612,388
Tripura,March,Week2,33426,33003,628767,388
Tripura,March,Week_3,33461,33020,633540,388
Tripura,January,Week2,33317,32863,596668,386
Tripura,January,Week_1,33291,32820,587806,384
Tripura,December,Week_4,33241,32688,574733,382
Tripura,December,Week_5,33261,32728,578723,382
Tripura,December,Week_3,33172,32538,566644,377
Tripura,December,Week2,33045,32319,554621,373
Tripura,December,Week_1,32894,32087,541546,370
Tripura,November,Week_4,32638,31545,523099,367
Tripura,November,Week_5,32692,31707,526407,367
Tripura,November,Week_3,32364,31061,508813,363
Tripura,November,Week2,31916,30391,492248,359
Tripura,November,Week_1,31431,29769,475245,353
Himachal Pradesh,October,Week_5,224106,218410,3685011,3738
Himachal Pradesh,October,Week_4,223619,217918,3661951,3729
Himachal Pradesh,October,Week_3,222138,216954,3601015,3715
Himachal Pradesh,October,Week2,221113,216010,3560917,3699
Himachal Pradesh,October,Week_1,220061,214962,3516423,3678
Himachal Pradesh,September,Week_5,219061,213690,3470492,3660
Himachal Pradesh,September,Week_4,218693,213338,3451884,3656
Himachal Pradesh,September,Week_3,217403,212033,3388243,3639
Himachal Pradesh,September,Week2,216088,210913,3321803,3626
Himachal Pradesh,September,Week_1,214911,209610,3260732,3602
Himachal Pradesh,August,Week_5,213548,208305,3197046,3582
Himachal Pradesh,August,Week_4,213122,207713,3179710,3575
Himachal Pradesh,August,Week_3,211632,205784,3103121,3547
Himachal Pradesh,August,Week2,209961,203576,3021859,3529
Himachal Pradesh,August,Week_1,207700,202194,2922717,3517
Himachal Pradesh,July,Week_5,206027,201270,2834431,3505
Himachal Pradesh,July,Week_4,205499,201026,2795444,3504
Himachal Pradesh,July,Week_3,204685,200233,2701754,3491
Himachal Pradesh,July,Week2,203962,199270,2620218,3483
Himachal Pradesh,July,Week_1,203117,198282,2528724,3470
Himachal Pradesh,June,Week_5,202123,197006,2438154,3463
Himachal Pradesh,June,Week_4,201813,196629,2410448,3460
Himachal Pradesh,June,Week_3,200603,194739,2314054,3432
Himachal Pradesh,June,Week2,198876,191041,2178258,3382
Himachal Pradesh,June,Week_1,195755,184878,2035502,3299
Himachal Pradesh,May,Week_5,190330,173560,1922211,3127
Himachal Pradesh,May,Week_4,187342,165786,1888929,3040
Himachal Pradesh,May,Week_3,175384,141198,1806900,2638
Himachal Pradesh,May,Week2,153717,111878,1708083,2185
Himachal Pradesh,May,Week_1,122906,91573,1605831,1780
Himachal Pradesh,April,Week_5,99287,79310,1509568,1484
Himachal Pradesh,April,Week_4,93889,76335,1482357,1407
Himachal Pradesh,April,Week_3,81102,69058,1411277,1223
Himachal Pradesh,April,Week2,72319,64218,1354979,1135
Himachal Pradesh,April,Week_1,66890,61537,1301527,1077
Himachal Pradesh,March,Week_5,63605,59581,1260512,1035
Himachal Pradesh,March,Week_4,62660,59138,1244992,1023
Himachal Pradesh,March,Week_3,60678,58398,1200601,1005
Himachal Pradesh,March,Week2,59675,57908,1156208,993
Himachal Pradesh,March,Week_1,59118,57507,1131166,984
Himachal Pradesh,February,Week_3,58385,57156,1059214,982
Himachal Pradesh,February,Week_4,58645,57332,1094709,982
Himachal Pradesh,February,Week2,58222,56817,1014237,981
Himachal Pradesh,February,Week_1,57896,56444,968162,972
Himachal Pradesh,January,Week_5,57536,56163,931400,967
Himachal Pradesh,January,Week_4,57356,56039,918838,962
Himachal Pradesh,January,Week_3,57121,55591,897538,958
Himachal Pradesh,January,Week2,56751,54976,870733,951
Himachal Pradesh,January,Week_1,56146,53938,828582,941
Himachal Pradesh,December,Week_5,55277,51692,772021,922
Himachal Pradesh,December,Week_4,54680,50044,743724,909
Himachal Pradesh,December,Week_3,52623,46817,682152,873
Himachal Pradesh,December,Week2,49761,41954,622318,813
Himachal Pradesh,December,Week_1,45697,37029,577386,729
Himachal Pradesh,November,Week_5,40518,31548,529355,635
Himachal Pradesh,November,Week_4,38977,29753,520785,613
Himachal Pradesh,November,Week_3,33700,26089,485095,509
Himachal Pradesh,November,Week2,29330,22161,457668,424
Himachal Pradesh,November,Week_1,24812,20225,426084,365
